scenario,workload,policy,avg_latency_ms_mean,avg_latency_ms_std,overall_hit_rate_mean,overall_hit_rate_std,miss_count_mean,miss_count_std,bytes_moved_mean,bytes_moved_std,eviction_count_mean,eviction_count_std
medium,adversarial_burst,regret_aware_w6.0_h64,2.3253209635416656,0.04503315405943267,0.09218749999999969,0.0031250000000000028,581.0,2.0,6796199.333333333,29871.1395385804,1027.3333333333333,4.163331998932297
medium,adversarial_burst,regret_aware_w6.0_h8,2.3609198437499974,0.05535675521729472,0.09739583333333335,0.0050227347713504965,577.6666666666666,3.2145502536643242,6832777.333333333,71546.88242916907,1039.3333333333333,11.930353445448862
medium,chat_continuation,cost_aware,0.28261484374999973,0.06195981126430681,0.798828125,0.09911026919035373,103.0,50.7444578254611,803170.0,415296.4637412652,93.0,50.7444578254611
medium,chat_continuation,lru,0.22937949218749834,0.034064041538459086,0.953125,0.008513474499102853,24.0,4.358898943540674,155310.0,36111.29612738928,14.0,4.358898943540674
medium,chat_continuation,regret_aware_w1.0_h24,0.274763802083333,0.05801951034808317,0.8216145833333334,0.0853212397270909,91.33333333333333,43.684474740270524,707714.0,357716.34029213706,81.33333333333333,43.684474740270524
medium,chat_continuation,regret_aware_w1.0_h64,0.27430996093749965,0.057626484592124085,0.8229166666666666,0.0842413703581424,90.66666666666667,43.131581623368895,702152.6666666666,353106.1706928008,80.66666666666667,43.131581623368895
medium,chat_continuation,regret_aware_w1.0_h8,0.2781264648437493,0.05920454422418392,0.8118489583333334,0.0903588607397897,96.33333333333333,46.26373669877233,748581.3333333334,378849.83522410743,86.33333333333333,46.26373669877233
medium,chat_continuation,regret_aware_w12.0_h24,0.250718294270832,0.04412744411759737,0.8912760416666666,0.03838938278074368,55.666666666666664,19.65536398374076,414995.3333333333,161177.06905553697,45.666666666666664,19.65536398374076
medium,chat_continuation,regret_aware_w12.0_h64,0.24825006510416567,0.043263751086479674,0.8984375,0.03564118670096616,52.0,18.24828759089466,384979.3333333333,149766.4628057074,42.0,18.24828759089466
medium,chat_continuation,regret_aware_w12.0_h8,0.25698470052083205,0.04715697879663796,0.873046875,0.04740101991996716,65.0,24.269322199023193,491064.6666666667,198821.11415373703,55.0,24.269322199023193
medium,chat_continuation,regret_aware_w6.0_h24,0.257222591145832,0.04857076892432423,0.8723958333333334,0.05139106997881744,65.33333333333333,26.312227829154516,494070.0,215765.70738650757,55.333333333333336,26.312227829154512
medium,chat_continuation,regret_aware_w6.0_h64,0.2545338867187487,0.04807517890728328,0.8802083333333334,0.0497695699312927,61.333333333333336,25.482019804821856,461405.3333333333,209048.25799162578,51.333333333333336,25.482019804821856
medium,chat_continuation,regret_aware_w6.0_h8,0.2626029296874994,0.051451891470730926,0.8567708333333334,0.06183525067395993,73.33333333333333,31.65964834506747,559459.3333333334,259351.1321304253,63.333333333333336,31.659648345067467
medium,periodic_reuse,cost_aware,0.2277936458333327,0.04065555912340314,0.6114583333333333,0.1156918444168963,248.66666666666666,74.04278042681362,2027825.3333333333,620788.9704314449,238.66666666666666,74.04278042681362
medium,periodic_reuse,lru,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w1.0_h24,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w1.0_h64,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w1.0_h8,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w12.0_h24,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w12.0_h64,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w12.0_h8,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w6.0_h24,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w6.0_h64,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
medium,periodic_reuse,regret_aware_w6.0_h8,0.43773645833333336,0.0017818063863994297,0.0,0.0,640.0,0.0,5210894.666666667,39166.96824281046,630.0,0.0
